longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,Predicted_Values_RF,address
-122.23,37.88,41,880,129.0,322,126,8.3252,452600,0,0,0,1,0,454931.13,"Ecological Study Area, Segre Road, Berkeley, CA 94720, United States of America"
-122.22,37.86,21,7099,1106.0,2401,1138,8.3014,358500,0,0,0,1,0,379692.04,"Grizzly Peak Open Space, Skyline Trail, Contra Costa County, CA 94563, United States of America"
-122.24,37.85,52,1467,190.0,496,177,7.2574,352100,0,0,0,1,0,375770.01,"Grove Shafter Freeway, Oakland, CA 94618, United States of America"
-122.25,37.85,52,1274,235.0,558,219,5.6431,341300,0,0,0,1,0,336643.02,"6365 Florio Street, Oakland, CA 94168, United States of America"
-122.25,37.85,52,1627,280.0,565,259,3.8462,342200,0,0,0,1,0,293841.0,"6365 Florio Street, Oakland, CA 94168, United States of America"
-122.25,37.85,52,919,213.0,413,193,4.0368,269700,0,0,0,1,0,250909.0,"6365 Florio Street, Oakland, CA 94168, United States of America"
-122.25,37.84,52,2535,489.0,1094,514,3.6591,299200,0,0,0,1,0,279541.0,"5401 Bryant Avenue, Oakland, CA 94168, United States of America"
-122.25,37.84,52,3104,687.0,1157,647,3.12,241400,0,0,0,1,0,239102.0,"5401 Bryant Avenue, Oakland, CA 94168, United States of America"
-122.26,37.84,42,2555,665.0,1206,595,2.0804,226700,0,0,0,1,0,205301.0,"5321 Claremont Avenue, Oakland, CA 94609, United States of America"
-122.25,37.84,52,3549,707.0,1551,714,3.6912,261100,0,0,0,1,0,260945.0,"5401 Bryant Avenue, Oakland, CA 94168, United States of America"
-122.26,37.85,52,2202,434.0,910,402,3.2031,281500,0,0,0,1,0,260842.0,"6398 Telegraph Avenue, Oakland, CA 94705, United States of America"
-122.26,37.85,52,3503,752.0,1504,734,3.2705,241800,0,0,0,1,0,254970.0,"6398 Telegraph Avenue, Oakland, CA 94705, United States of America"
-122.26,37.85,52,2491,474.0,1098,468,3.075,213500,0,0,0,1,0,230776.0,"6398 Telegraph Avenue, Oakland, CA 94705, United States of America"
-122.26,37.84,52,696,191.0,345,174,2.6736,191300,0,0,0,1,0,181217.0,"5321 Claremont Avenue, Oakland, CA 94609, United States of America"
-122.26,37.85,52,2643,626.0,1212,620,1.9167,159200,0,0,0,1,0,167258.0,"6398 Telegraph Avenue, Oakland, CA 94705, United States of America"
-122.26,37.85,50,1120,283.0,697,264,2.125,140000,0,0,0,1,0,142519.0,"6398 Telegraph Avenue, Oakland, CA 94705, United States of America"
-122.27,37.85,52,1966,347.0,793,331,2.775,152500,0,0,0,1,0,161156.0,"1889;1891;1893;1895 Harmon Street, Berkeley, CA 94705, United States of America"
